,Place,Potential Exposure Window,Address,Details,Zone,Last Updated,Exposure area,Geolocation Address,Geolocation Address Coords,longitude,latitude
56,Porter’s Lake Family Eatery and Pub,"Sun, 11/14/2021 - 12:00 to 14:00","5228 Trunk 7, Porters Lake",details,Central,11/16/2021 - 20:19,Porter’s Lake Family Eatery and Pub,"Porter’s Lake Family Eatery and Pub-5228 Trunk 7, Porters Lake","[{'address': 'Porters, Georgia', 'location': {'x': -82.68874999999997, 'y': 33.696240000000046}, 'score': 70.33, 'attributes': {'URL': '', 'address': '', 'City': 'Porters', 'Country': 'USA'}, 'extent': {'xmin': -82.70874999999997, 'ymin': 33.67624000000004, 'xmax': -82.66874999999997, 'ymax': 33.71624000000005}}, {'address': 'Porters, Beloit, Wisconsin', 'location': {'x': -88.95717999999994, 'y': 42.53385000000003}, 'score': 70.33, 'attributes': {'URL': '', 'address': '', 'City': 'Beloit', 'Country': 'USA'}, 'extent': {'xmin': -88.96717999999994, 'ymin': 42.52385000000003, 'xmax': -88.94717999999993, 'ymax': 42.54385000000003}}, {'address': 'Porters, Virginia', 'location': {'x': -77.79134999999997, 'y': 38.19380000000007}, 'score': 70.33, 'attributes': {'URL': '', 'address': '', 'City': 'Porters', 'Country': 'USA'}, 'extent': {'xmin': -77.80134999999997, 'ymin': 38.18380000000007, 'xmax': -77.78134999999996, 'ymax': 38.203800000000065}}, {'address': 'Porters, Virginia', 'location': {'x': -78.60216999999994, 'y': 37.82581000000005}, 'score': 70.33, 'attributes': {'URL': '', 'address': '', 'City': 'Porters', 'Country': 'USA'}, 'extent': {'xmin': -78.61216999999995, 'ymin': 37.81581000000005, 'xmax': -78.59216999999994, 'ymax': 37.835810000000045}}, {'address': 'Porters, Tennessee', 'location': {'x': -87.15581999999995, 'y': 35.523520000000076}, 'score': 70.33, 'attributes': {'URL': '', 'address': '', 'City': 'Porters', 'Country': 'USA'}, 'extent': {'xmin': -87.16581999999995, 'ymin': 35.51352000000008, 'xmax': -87.14581999999994, 'ymax': 35.533520000000074}}, {'address': 'Lakes, Alaska', 'location': {'x': -149.30860999999996, 'y': 61.607120000000066}, 'score': 70, 'attributes': {'URL': '', 'address': '', 'City': 'Lakes', 'Country': 'USA'}, 'extent': {'xmin': -149.35760999999997, 'ymin': 61.558120000000066, 'xmax': -149.25960999999995, 'ymax': 61.656120000000065}}, {'address': 'Lake, West Virginia', 'location': {'x': -81.90040999999997, 'y': 37.929970000000026}, 'score': 70, 'attributes': {'URL': '', 'address': '', 'City': 'Lake', 'Country': 'USA'}, 'extent': {'xmin': -81.91040999999997, 'ymin': 37.91997000000003, 'xmax': -81.89040999999996, 'ymax': 37.939970000000024}}, {'address': 'Lake, Michigan', 'location': {'x': -85.00420999999994, 'y': 43.85734000000008}, 'score': 70, 'attributes': {'URL': '', 'address': '', 'City': 'Lake', 'Country': 'USA'}, 'extent': {'xmin': -85.01420999999995, 'ymin': 43.84734000000008, 'xmax': -84.99420999999994, 'ymax': 43.86734000000008}}, {'address': 'Lake, Illinois', 'location': {'x': -87.55086999999997, 'y': 41.16892000000007}, 'score': 70, 'attributes': {'URL': '', 'address': '', 'City': 'Lake', 'Country': 'USA'}, 'extent': {'xmin': -87.57086999999997, 'ymin': 41.14892000000007, 'xmax': -87.53086999999998, 'ymax': 41.188920000000074}}, {'address': 'Lakes, Kentucky', 'location': {'x': -83.93721999999997, 'y': 37.504170000000045}, 'score': 70, 'attributes': {'URL': '', 'address': '', 'City': 'Lakes', 'Country': 'USA'}, 'extent': {'xmin': -83.95721999999996, 'ymin': 37.48417000000004, 'xmax': -83.91721999999997, 'ymax': 37.52417000000005}}, {'address': 'Lake, Pennsylvania', 'location': {'x': -76.03241999999995, 'y': 41.352580000000046}, 'score': 70, 'attributes': {'URL': '', 'address': '', 'City': 'Lake', 'Country': 'USA'}, 'extent': {'xmin': -76.05241999999994, 'ymin': 41.33258000000004, 'xmax': -76.01241999999995, 'ymax': 41.37258000000005}}, {'address': 'Lake, Isle of Wight, England', 'location': {'x': -1.1665951209999434, 'y': 50.650341111000046}, 'score': 70, 'attributes': {'URL': '', 'address': '', 'City': 'Lake', 'Country': 'GBR'}, 'extent': {'xmin': -1.1755951209999433, 'ymin': 50.641341111000045, 'xmax': -1.1575951209999435, 'ymax': 50.659341111000046}}, {'address': 'Lake, Dorset, England', 'location': {'x': -2.0150263099999393, 'y': 50.71438085500006}, 'score': 70, 'attributes': {'URL': '', 'address': '', 'City': 'Lake', 'Country': 'GBR'}, 'extent': {'xmin': -2.0220263099999394, 'ymin': 50.70738085500006, 'xmax': -2.008026309999939, 'ymax': 50.721380855000056}}, {'address': 'Lake, Nordrhein-Westfalen', 'location': {'x': 8.566200000000038, 'y': 51.78227000000004}, 'score': 70, 'attributes': {'URL': '', 'address': '', 'City': '', 'Country': 'DEU'}, 'extent': {'xmin': 8.556200000000038, 'ymin': 51.77227000000004, 'xmax': 8.576200000000037, 'ymax': 51.79227000000004}}, {'address': 'Lake, Niedersachsen', 'location': {'x': 9.117140000000063, 'y': 52.919530000000066}, 'score': 70, 'attributes': {'URL': '', 'address': '', 'City': 'Lake', 'Country': 'DEU'}, 'extent': {'xmin': 9.107140000000063, 'ymin': 52.90953000000007, 'xmax': 9.127140000000063, 'ymax': 52.929530000000064}}, {'address': 'Lake, Qinghai', 'location': {'x': 102.60660000000007, 'y': 35.668990000000065}, 'score': 70, 'attributes': {'URL': '', 'address': '', 'City': 'Lake', 'Country': 'CHN'}, 'extent': {'xmin': 102.59660000000007, 'ymin': 35.65899000000007, 'xmax': 102.61660000000008, 'ymax': 35.67899000000006}}, {'address': 'Lake, Sichuan', 'location': {'x': 102.35093000000006, 'y': 28.34187000000003}, 'score': 70, 'attributes': {'URL': '', 'address': '', 'City': 'Lake', 'Country': 'CHN'}, 'extent': {'xmin': 102.34093000000006, 'ymin': 28.331870000000027, 'xmax': 102.36093000000007, 'ymax': 28.35187000000003}}, {'address': 'Lake, Šibensko-Kniniska', 'location': {'x': 16.223060000000032, 'y': 44.01500000000004}, 'score': 70, 'attributes': {'URL': '', 'address': '', 'City': 'Lake', 'Country': 'HRV'}, 'extent': {'xmin': 16.21306000000003, 'ymin': 44.005000000000045, 'xmax': 16.233060000000034, 'ymax': 44.02500000000004}}, {'address': 'Lake, Šibensko-Kniniska', 'location': {'x': 16.24111000000005, 'y': 44.014440000000036}, 'score': 70, 'attributes': {'URL': '', 'address': '', 'City': 'Lake', 'Country': 'HRV'}, 'extent': {'xmin': 16.231110000000047, 'ymin': 44.00444000000004, 'xmax': 16.25111000000005, 'ymax': 44.024440000000034}}, {'address': 'Lake, Dyfed, Wales', 'location': {'x': -4.858573799999931, 'y': 51.65306503700003}, 'score': 70, 'attributes': {'URL': '', 'address': '', 'City': 'Lake', 'Country': 'GBR'}, 'extent': {'xmin': -4.861573799999931, 'ymin': 51.65006503700003, 'xmax': -4.855573799999931, 'ymax': 51.65606503700003}}]",-82.68874999999997,33.696240000000046
57,Halifax Forum,"Sat, 11/13/2021 - 18:30 to 21:30","2901 Windsor St., Halifax",details,Central,11/19/2021 - 18:42,Halifax Forum,"Halifax Forum-2901 Windsor St., Halifax","[{'address': 'Halifax Forum', 'location': {'x': -63.60415993003075, 'y': 44.65488003722071}, 'score': 100, 'attributes': {'URL': 'http://www.halifaxforum.ca/', 'address': '2901 Windsor St', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.608869999999975, 'ymin': 44.65019000000006, 'xmax': -63.59886999999997, 'ymax': 44.660190000000064}}, {'address': '2901 Windsor St, Halifax, Nova Scotia, B3K 5E5', 'location': {'x': -63.60415756870248, 'y': 44.654886054180125}, 'score': 97.19, 'attributes': {'URL': '', 'address': '2901 Windsor St', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.6048699856046, 'ymin': 44.6541899819892, 'xmax': -63.602869985604606, 'ymax': 44.65618998198919}}]",-63.60415993003075,44.65488003722071
58,"Grand Banker Bar and Grill, Lunenburg","Sat, 11/13/2021 - 18:30 to 20:00","82 Montague St., Lunenburg",Details,Western,11/14/2021 - 18:33,"Grand Banker Bar and Grill, Lunenburg","Grand Banker Bar and Grill, Lunenburg-82 Montague St., Lunenburg","[{'address': 'Grand Banker Bar & Grill', 'location': {'x': -64.31131007660565, 'y': 44.37654997778308}, 'score': 98.27, 'attributes': {'URL': 'https://grandbanker.com/contact/', 'address': '82 Montague St', 'City': 'Lunenburg', 'Country': 'CAN'}, 'extent': {'xmin': -64.31633999999997, 'ymin': 44.371410000000076, 'xmax': -64.30633999999998, 'ymax': 44.38141000000008}}, {'address': '82 Montague St, Lunenburg, Nova Scotia, B0J', 'location': {'x': -64.31131258807673, 'y': 44.37654262146748}, 'score': 94.81, 'attributes': {'URL': '', 'address': '82 Montague St', 'City': 'Lunenburg', 'Country': 'CAN'}, 'extent': {'xmin': -64.3123399969001, 'ymin': 44.37541001975928, 'xmax': -64.3103399969001, 'ymax': 44.377410019759274}}]",-64.31131007660565,44.37654997778308
59,Lunenburg Opera House,"Sat, 11/13/2021 - 18:30 to 21:30","“William Prince” show (290 Lincoln St., Lunenburg)",details,Western,11/16/2021 - 20:12,Lunenburg Opera House,"Lunenburg Opera House-“William Prince” show (290 Lincoln St., Lunenburg)","[{'address': 'Lunenburg Opera House', 'location': {'x': -64.30892006939227, 'y': 44.37716993392597}, 'score': 96.9, 'attributes': {'URL': '', 'address': '290 Lincoln St', 'City': 'Lunenburg', 'Country': 'CAN'}, 'extent': {'xmin': -64.31397999999996, 'ymin': 44.37198000000006, 'xmax': -64.30397999999997, 'ymax': 44.38198000000006}}, {'address': '290 Lincoln St, Lunenburg, Nova Scotia, B0J', 'location': {'x': -64.30892332657658, 'y': 44.37716263084535}, 'score': 94.31, 'attributes': {'URL': '', 'address': '290 Lincoln St', 'City': 'Lunenburg', 'Country': 'CAN'}, 'extent': {'xmin': -64.30997998824203, 'ymin': 44.3759799891752, 'xmax': -64.30797998824202, 'ymax': 44.377979989175195}}]",-64.30892006939227,44.37716993392597
60,Sam's Pizza,"Sat, 11/13/2021 - 18:30 to 20:30","255 S Foord Street, Stellarton",details,Northern,11/19/2021 - 18:38,Sam's Pizza,"Sam's Pizza-255 S Foord Street, Stellarton","[{'address': '255 S Foord St, Stellarton, Nova Scotia, B0K', 'location': {'x': -62.66039478764224, 'y': 45.55638269401781}, 'score': 97.35, 'attributes': {'URL': '', 'address': '255 S Foord St', 'City': 'Stellarton', 'Country': 'CAN'}, 'extent': {'xmin': -62.66139478764224, 'ymin': 45.555382694017815, 'xmax': -62.65939478764224, 'ymax': 45.55738269401781}}, {'address': '255 Foord St, Stellarton, Nova Scotia, B0K', 'location': {'x': -62.65987205442959, 'y': 45.55902279706627}, 'score': 95.64, 'attributes': {'URL': '', 'address': '255 Foord St', 'City': 'Stellarton', 'Country': 'CAN'}, 'extent': {'xmin': -62.660539963425855, 'ymin': 45.55799999828964, 'xmax': -62.65853996342586, 'ymax': 45.55999999828963}}]",-62.66039478764224,45.55638269401781
61,Ikea,"Sat, 11/13/2021 - 15:00 to 16:30","645 Cutler Avenue, Dartmouth",details,Central,11/19/2021 - 18:53,Ikea,"Ikea-645 Cutler Avenue, Dartmouth","[{'address': 'IKEA', 'location': {'x': -63.55753999999996, 'y': 44.71217000000007}, 'score': 100, 'attributes': {'URL': 'https://www.ikea.com', 'address': '645 Cutler Ave', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.56253999999996, 'ymin': 44.70717000000007, 'xmax': -63.55253999999996, 'ymax': 44.717170000000074}}, {'address': '645 Cutler Ave, Dartmouth, Halifax, Nova Scotia, B3B 0M2', 'location': {'x': -63.563473528464975, 'y': 44.7114701161999}, 'score': 98.57, 'attributes': {'URL': '', 'address': '645 Cutler Ave', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.56447352846497, 'ymin': 44.7104701161999, 'xmax': -63.56247352846498, 'ymax': 44.712470116199896}}]",-63.55753999999996,44.71217000000007
62,Playdium,"Sat, 11/13/2021 - 13:45 to 16:45","21 Cabela Rd., Dartmouth",details,Central,11/16/2021 - 20:18,Playdium,"Playdium-21 Cabela Rd., Dartmouth","[{'address': 'Dartmouth, Halifax, Nova Scotia', 'location': {'x': -63.57534999999996, 'y': 44.67404000000005}, 'score': 73.33, 'attributes': {'URL': '', 'address': '', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.64134999999996, 'ymin': 44.608040000000045, 'xmax': -63.509349999999955, 'ymax': 44.74004000000005}}, {'address': 'Dartmouth, South Hams, Devon, England', 'location': {'x': -3.579895259999944, 'y': 50.35152950000003}, 'score': 73.33, 'attributes': {'URL': '', 'address': '', 'City': 'South Hams', 'Country': 'GBR'}, 'extent': {'xmin': -3.591895259999944, 'ymin': 50.339529500000026, 'xmax': -3.567895259999944, 'ymax': 50.36352950000003}}, {'address': 'Dartmouth, Massachusetts', 'location': {'x': -70.96673999999996, 'y': 41.62988000000007}, 'score': 73.33, 'attributes': {'URL': '', 'address': '', 'City': 'Town of Dartmouth', 'Country': 'USA'}, 'extent': {'xmin': -71.08873999999996, 'ymin': 41.50788000000007, 'xmax': -70.84473999999996, 'ymax': 41.75188000000007}}, {'address': 'Dartmouth, Victoria', 'location': {'x': 147.4945600000001, 'y': -36.53099999999995}, 'score': 73.33, 'attributes': {'URL': '', 'address': '', 'City': 'Dartmouth', 'Country': 'AUS'}, 'extent': {'xmin': 147.2985600000001, 'ymin': -36.72699999999995, 'xmax': 147.6905600000001, 'ymax': -36.33499999999995}}, {'address': 'Dartmouth, Queensland', 'location': {'x': 144.70000000000005, 'y': -23.516669999999976}, 'score': 73.33, 'attributes': {'URL': '', 'address': '', 'City': 'Dartmouth', 'Country': 'AUS'}, 'extent': {'xmin': 144.69000000000005, 'ymin': -23.526669999999978, 'xmax': 144.71000000000004, 'ymax': -23.506669999999975}}, {'address': 'Dartmouth, Izabal', 'location': {'x': -88.78332999999998, 'y': 15.516670000000033}, 'score': 73.33, 'attributes': {'URL': '', 'address': '', 'City': 'Dartmouth', 'Country': 'GTM'}, 'extent': {'xmin': -88.79332999999998, 'ymin': 15.506670000000033, 'xmax': -88.77332999999997, 'ymax': 15.526670000000033}}, {'address': 'Dartmouth, Pomeroon-Supenaam', 'location': {'x': -58.49950999999999, 'y': 7.36543000000006}, 'score': 73.33, 'attributes': {'URL': '', 'address': '', 'City': 'Dartmouth', 'Country': 'GUY'}, 'extent': {'xmin': -58.509509999999985, 'ymin': 7.3554300000000605, 'xmax': -58.48950999999999, 'ymax': 7.37543000000006}}, {'address': 'Dartmouth, San Jose, California', 'location': {'x': -121.89755999999994, 'y': 37.241250000000036}, 'score': 73.33, 'attributes': {'URL': '', 'address': '', 'City': 'San Jose', 'Country': 'USA'}, 'extent': {'xmin': -121.90755999999995, 'ymin': 37.23125000000004, 'xmax': -121.88755999999994, 'ymax': 37.251250000000034}}, {'address': 'Dartmouth, Kansas', 'location': {'x': -98.64553999999998, 'y': 38.36352000000005}, 'score': 73.33, 'attributes': {'URL': '', 'address': '', 'City': 'Dartmouth', 'Country': 'USA'}, 'extent': {'xmin': -98.65553999999999, 'ymin': 38.35352000000005, 'xmax': -98.63553999999998, 'ymax': 38.37352000000005}}, {'address': 'Dartmouth, Blouberg, Capricorn, Limpopo', 'location': {'x': 28.33508000000006, 'y': -22.997329999999977}, 'score': 73.33, 'attributes': {'URL': '', 'address': '', 'City': 'Blouberg', 'Country': 'ZAF'}, 'extent': {'xmin': 28.32508000000006, 'ymin': -23.00732999999998, 'xmax': 28.345080000000063, 'ymax': -22.987329999999975}}, {'address': 'Dartmouth, Victoria', 'location': {'x': 147.62526171100012, 'y': -36.59766851799998}, 'score': 73.33, 'attributes': {'URL': '', 'address': '', 'City': '', 'Country': 'AUS'}, 'extent': {'xmin': 147.4272617110001, 'ymin': -36.79566851799998, 'xmax': 147.82326171100013, 'ymax': -36.39966851799998}}]",-63.57534999999996,44.67404000000005
63,"Scotiabank Theatre Halifax – Theatre/Screen 2, movie “Kurup”","Fri, 11/12/2021 - 21:30 to Sat, 11/13/2021 - 01:00","190 Chain Lake Dr., Halifax",Details,Central,11/14/2021 - 18:32,"Scotiabank Theatre Halifax – Theatre/Screen 2, movie “Kurup”","Scotiabank Theatre Halifax – Theatre/Screen 2, movie “Kurup”-190 Chain Lake Dr., Halifax","[{'address': '190 Chain Lake Dr, Halifax, Nova Scotia, B3S 1C5', 'location': {'x': -63.6750351934103, 'y': 44.64882195678034}, 'score': 93.43, 'attributes': {'URL': '', 'address': '190 Chain Lake Dr', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.6762299770076, 'ymin': 44.64448001999849, 'xmax': -63.666229977007596, 'ymax': 44.654480019998495}}, {'address': '190 Lake Dr, Bedford, Halifax, Nova Scotia, B4A 1H9', 'location': {'x': -63.683544652623446, 'y': 44.715523498576154}, 'score': 91.36, 'attributes': {'URL': '', 'address': '190 Lake Dr', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.684544652623444, 'ymin': 44.714523498576156, 'xmax': -63.68254465262345, 'ymax': 44.71652349857615}}]",-63.6750351934103,44.64882195678034
64,Tim’s Barber Shop,"Fri, 11/12/2021 - 14:00 to 17:30","211 South Albion Street, Amherst",details,Northern,11/15/2021 - 19:04,Tim’s Barber Shop,"Tim’s Barber Shop-211 South Albion Street, Amherst","[{'address': '211 S Albion St, Amherst, Nova Scotia, B4H 2X2', 'location': {'x': -64.20295343930047, 'y': 45.81280536754652}, 'score': 96.59, 'attributes': {'URL': '', 'address': '211 S Albion St', 'City': 'Amherst', 'Country': 'CAN'}, 'extent': {'xmin': -64.20431997992625, 'ymin': 45.81173998870177, 'xmax': -64.20231997992624, 'ymax': 45.81373998870176}}, {'address': '211 Albion St, Amherst, Nova Scotia, B4H', 'location': {'x': -64.20828364620981, 'y': 45.82629888293044}, 'score': 94.89, 'attributes': {'URL': '', 'address': '211 Albion St', 'City': 'Amherst', 'Country': 'CAN'}, 'extent': {'xmin': -64.20928364620981, 'ymin': 45.82529888293044, 'xmax': -64.2072836462098, 'ymax': 45.827298882930435}}]",-64.20295343930047,45.81280536754652
65,"The Dome Night Club, Halifax","Thu, 11/11/2021 - 20:30 to Fri, 11/12/2021 - 04:15","1739 Grafton Street, Halifax",Details,Central,11/13/2021 - 20:12,"The Dome Night Club, Halifax","The Dome Night Club, Halifax-1739 Grafton Street, Halifax","[{'address': '1739 Grafton St, Halifax, Nova Scotia, B3J 2C6', 'location': {'x': -63.575708215858626, 'y': 44.64754560247416}, 'score': 95.74, 'attributes': {'URL': '', 'address': '1739 Grafton St', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.576590031023876, 'ymin': 44.6465699938124, 'xmax': -63.57459003102388, 'ymax': 44.648569993812394}}]",-63.575708215858626,44.64754560247416
66,Scotia Bank Centre,"Thu, 11/11/2021 - 18:00 to 22:30","Section 19 – seats 2-12 in rows Q, R, S, T, U (1800 Argyle St., Halifax)",details,Central,11/16/2021 - 20:16,Scotia Bank Centre,"Scotia Bank Centre-Section 19 – seats 2-12 in rows Q, R, S, T, U (1800 Argyle St., Halifax)","[{'address': 'Scotiabank Centre', 'location': {'x': -63.57557002279387, 'y': 44.648539963356335}, 'score': 96.98, 'attributes': {'URL': 'http://www.halifaxmetrocentre.com/', 'address': '1800 Argyle St', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.58093999999995, 'ymin': 44.643460000000054, 'xmax': -63.57093999999994, 'ymax': 44.65346000000006}}, {'address': '1800 Argyle St, Halifax, Nova Scotia, B3J 3N8', 'location': {'x': -63.57558190057787, 'y': 44.64853449941076}, 'score': 94.44, 'attributes': {'URL': '', 'address': '1800 Argyle St', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.576939975481444, 'ymin': 44.64745998429155, 'xmax': -63.57493997548145, 'ymax': 44.649459984291546}}]",-63.57557002279387,44.648539963356335
67,HFX Sports Bar,"Thu, 11/11/2021 - 16:00 to 18:30","1721 Brunswick St., Halifax",details,Central,11/16/2021 - 20:08,HFX Sports Bar,"HFX Sports Bar-1721 Brunswick St., Halifax","[{'address': '1721 Brunswick St, Halifax, Nova Scotia, B3J 2G4', 'location': {'x': -63.57685838061233, 'y': 44.646925844553365}, 'score': 96.47, 'attributes': {'URL': '', 'address': '1721 Brunswick St', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.57764003203466, 'ymin': 44.64597999164787, 'xmax': -63.57564003203466, 'ymax': 44.647979991647865}}, {'address': 'Brunswick St, Halifax, Nova Scotia, B3K 2Z3', 'location': {'x': -63.582908386659675, 'y': 44.65381877210089}, 'score': 83.53, 'attributes': {'URL': '', 'address': 'Brunswick St', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.58390838665967, 'ymin': 44.65281877210089, 'xmax': -63.58190838665968, 'ymax': 44.65481877210089}}]",-63.57685838061233,44.646925844553365
68,Stellarton Cenotaph,"Thu, 11/11/2021 - 10:15 to 12:30","Corner of North Ford Street and Bridge Avenue, Stellarton",Details,Northern,11/13/2021 - 20:11,Stellarton Cenotaph,"Stellarton Cenotaph-Corner of North Ford Street and Bridge Avenue, Stellarton","[{'address': 'Bridge Ave, Stellarton, Nova Scotia, B0K', 'location': {'x': -62.66236446214683, 'y': 45.562274075954235}, 'score': 80.91, 'attributes': {'URL': '', 'address': 'Bridge Ave', 'City': 'Stellarton', 'Country': 'CAN'}, 'extent': {'xmin': -62.66336446214683, 'ymin': 45.56127407595424, 'xmax': -62.661364462146835, 'ymax': 45.56327407595423}}, {'address': 'Stellarton, Nova Scotia', 'location': {'x': -62.65966999999995, 'y': 45.56177000000008}, 'score': 76.2, 'attributes': {'URL': '', 'address': '', 'City': 'Stellarton', 'Country': 'CAN'}, 'extent': {'xmin': -62.67966999999995, 'ymin': 45.54177000000008, 'xmax': -62.639669999999946, 'ymax': 45.581770000000084}}, {'address': 'Ford Street, Taunton Deane, Somerset, England', 'location': {'x': -3.202365613999973, 'y': 50.95726767800005}, 'score': 70.07, 'attributes': {'URL': '', 'address': '', 'City': 'Taunton Deane', 'Country': 'GBR'}, 'extent': {'xmin': -3.206365613999973, 'ymin': 50.95326767800005, 'xmax': -3.198365613999973, 'ymax': 50.96126767800005}}]",-62.66236446214683,45.562274075954235
69,Air Canada 624 Toronto to Halifax,"Fri, 11/26/2021 - 20:45 to Sat, 11/27/2021 - 00:00",Halifax Stanfield International Airport,details,Flight,11/30/2021 - 20:03,"Passengers in rows 26 to 32, seats C, D, E and F.",Air Canada 624 Toronto to Halifax-Halifax Stanfield International Airport,"[{'address': 'Halifax Stanfield International Airport', 'location': {'x': -63.515309994950954, 'y': 44.88626001110855}, 'score': 88.28, 'attributes': {'URL': 'https://tourismns.ca/', 'address': '1 Bell Blvd', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.51974999999994, 'ymin': 44.88133000000004, 'xmax': -63.50974999999993, 'ymax': 44.891330000000046}}, {'address': ""Halifax Stanfield Int'l Airport"", 'location': {'x': -63.516019942149754, 'y': 44.88427006347612}, 'score': 87.59, 'attributes': {'URL': '', 'address': '1 Bell Blvd', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.542749999999934, 'ymin': 44.858330000000045, 'xmax': -63.48674999999994, 'ymax': 44.91433000000004}}, {'address': ""Stanfield Int'l Airport-Arrivals"", 'location': {'x': -63.515949999999975, 'y': 44.88692000000003}, 'score': 82.76, 'attributes': {'URL': '', 'address': '1 Silver Dart', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.52094999999998, 'ymin': 44.88192000000003, 'xmax': -63.51094999999997, 'ymax': 44.891920000000034}}, {'address': ""Stanfield Int'l Airport-Departures"", 'location': {'x': -63.51541996552059, 'y': 44.886659995527985}, 'score': 82.37, 'attributes': {'URL': '', 'address': '1 Bell Blvd', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.51974999999994, 'ymin': 44.88133000000004, 'xmax': -63.50974999999993, 'ymax': 44.891330000000046}}]",-63.515309994950954,44.88626001110855
70,Air Canada 8070 Ottawa to Halifax,"Wed, 11/24/2021 - 18:00 to 20:45",Halifax Stanfield International Airport,details,Flight,11/29/2021 - 19:15,"Passengers in rows 12 to 18, seats C, D and F.",Air Canada 8070 Ottawa to Halifax-Halifax Stanfield International Airport,"[{'address': 'Halifax Stanfield International Airport', 'location': {'x': -63.515309994950954, 'y': 44.88626001110855}, 'score': 88.28, 'attributes': {'URL': 'https://tourismns.ca/', 'address': '1 Bell Blvd', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.51974999999994, 'ymin': 44.88133000000004, 'xmax': -63.50974999999993, 'ymax': 44.891330000000046}}, {'address': ""Halifax Stanfield Int'l Airport"", 'location': {'x': -63.516019942149754, 'y': 44.88427006347612}, 'score': 87.59, 'attributes': {'URL': '', 'address': '1 Bell Blvd', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.542749999999934, 'ymin': 44.858330000000045, 'xmax': -63.48674999999994, 'ymax': 44.91433000000004}}, {'address': ""Stanfield Int'l Airport-Arrivals"", 'location': {'x': -63.515949999999975, 'y': 44.88692000000003}, 'score': 82.76, 'attributes': {'URL': '', 'address': '1 Silver Dart', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.52094999999998, 'ymin': 44.88192000000003, 'xmax': -63.51094999999997, 'ymax': 44.891920000000034}}, {'address': ""Stanfield Int'l Airport-Departures"", 'location': {'x': -63.51541996552059, 'y': 44.886659995527985}, 'score': 82.37, 'attributes': {'URL': '', 'address': '1 Bell Blvd', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.51974999999994, 'ymin': 44.88133000000004, 'xmax': -63.50974999999993, 'ymax': 44.891330000000046}}]",-63.515309994950954,44.88626001110855
